"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14460","Пользователь с ролью инженера имеет доступ только на просмотр запущенного эксперимента @role=engineer @regression @mock","webkit","2026-06-18","passed","2026-06-18","","experiments/permissions.test.ts","",""
"","8875","Фича может быть заархивирована и разархивирована @role=admin @regression","chromium","2026-06-18","passed","2026-06-18","","features/feature-lifecycle.test.ts","",""
"","16643","Старт нового эксперимента @role=experimenter @regression @smoke @mock","webkit","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","11175","Остановка эксперимента с выводом ""Won"" @role=experimenter @regression @mock","chromium","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","15637","Остановка эксперимента с выводом ""Won"" @role=experimenter @regression @mock","firefox","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","14263","Фича может быть заархивирована и разархивирована @role=admin @regression","firefox","2026-06-18","passed","2026-06-18","","features/feature-lifecycle.test.ts","",""
"","6149","Остановка эксперимента с выводом ""Won"" @role=experimenter @regression @mock","webkit","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","11880","Старт нового эксперимента @role=experimenter @regression @smoke @mock","firefox","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","13435","Пользователь с ролью инженера имеет доступ только на просмотр запущенного эксперимента @role=engineer @regression @mock","firefox","2026-06-18","passed","2026-06-18","","experiments/permissions.test.ts","",""
"","10160","Старт нового эксперимента @role=experimenter @regression @smoke @mock","chromium","2026-06-18","passed","2026-06-18","","experiments/experiment-lifecycle.test.ts","",""
"","16583","Фича может быть заархивирована и разархивирована @role=admin @regression","webkit","2026-06-18","passed","2026-06-18","","features/feature-lifecycle.test.ts","",""
"","10123","Пользователь с ролью инженера имеет доступ только на просмотр запущенного эксперимента @role=engineer @regression @mock","chromium","2026-06-18","passed","2026-06-18","","experiments/permissions.test.ts","",""
